"¿Qué término hebreo, derivado de la raíz $Kahal$, da nombre a la parashá que significa 'Y reunió'?",Vayakhel.
"Según la Torá, si alguien hiere a su prójimo y este cae en cama, ¿cuál es el 'justo juicio' ($Mishpat$) que debe aplicarse?",El agresor debe pagar por el tiempo perdido de trabajo y costear la curación completa.
"En el contexto de la identidad, ¿qué significa ser un 'Real Sacerdocio' según $1$ Pedro $2:9$?",Ser un linaje escogido y una nación santa apartada para anunciar las virtudes de Elohim.
¿Dónde se colocaba el Libro de la Torá (el Libro del Pacto) tras ser finalizado por Moisés?,Se ponía al lado del Arca del Testimonio.
¿Por qué el tabernáculo terrenal se considera una 'sombra y figura'?,Porque fue construido siguiendo un modelo divino celestial mostrado a Moisés en el monte.
"La lámpara del cuerpo es el _____; si este es maligno, todo el cuerpo estará en tinieblas.",Ojo.
¿Cuál es el propósito final de la manifestación de la gloria de Adonai ($Kevod$ $Adonai$) sobre el Mishkán?,Confirmar la aprobación divina de la obra y habitar en medio de Su pueblo.
¿Qué representa el 'cinto del Efod' en la vestidura del sumo sacerdote?,Representa la disposición para el servicio y la justicia.
"En el pensamiento hebreo, la ignorancia espiritual no es falta de datos, sino una _____ de la vida de Elohim.",Desconexión total.
¿A quiénes estaban destinadas las ofrendas recolectadas por Pablo en macedonia y acaya?,A los pobres de entre los santos (judíos creyentes) en Jerusalén.
¿Qué significa que la Torá sea un 'espejo' para el creyente?,Que nos confronta con nuestra realidad para realizar los ajustes necesarios conforme a la voluntad de Dios.
El arca del testimonio también funcionaba como una _____ o contrato matrimonial entre Israel y el Eterno.,Ketubá.
¿Qué elemento del tabernáculo móvil guiaba a los israelitas en su trayecto por el desierto?,La nube de día y la columna de fuego de noche sobre el Mishkán.
¿Cuál es el significado de la palabra hebrea 'Mishpatim' en relación al pectoral del sumo sacerdote?,Significa 'rectitud' o 'juicios justos'.
¿Qué distingue al Mesías histórico de las versiones 'gentilizadas' según la enseñanza?,"Que el Mesías verdadero guardó la Torá, el Shabat y las fiestas bíblicas."
¿Qué implica la 'circuncisión del corazón' necesaria para celebrar Pésaj espiritualmente?,Implica la decisión de amar a Adonai y guardar Sus mandamientos con sinceridad.
